,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix
0,DynamicANNWrapper0,0.33098204459802005,0.11032734819934002,0.3333333333333333,0.1657739611539544,"[[ 507 1027 1045]
 [ 529 1027 1023]
 [ 511 1042 1027]]"
1,DynamicANNWrapper0,0.33173154207696337,0.1548584840388982,0.3338720653807766,0.16773668428472355,"[[1027  512 1041]
 [1027  513 1039]
 [1042  511 1027]]"
2,DynamicANNWrapper0,0.7386963389222326,0.7413107772686967,0.738140768666637,0.7224685515171954,"[[2536   19   24]
 [ 293 1852  435]
 [ 601  649 1329]]"
3,DynamicANNWrapper0,0.7902386488208022,0.8159102723469693,0.7902950563159534,0.7822008007612263,"[[2349   96  134]
 [ 228 2317   34]
 [ 158  971 1450]]"     #pick
4,DynamicANNWrapper0,0.337337825935376,0.33571198600100205,0.34071380079937497,0.188256038197066,"[[2026  528   25]
 [2027  493   59]
 [1995  493   91]]"

