,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix
0,DynamicANNWrapper0,0.7596752936243725,0.7785222920988656,0.7596879124556095,0.7543336215443517,"[[2197  169  213]
 [ 304 2209   66]
 [ 234  871 1474]]"
1,DynamicANNWrapper0,0.7496508557816878,0.7584585031613796,0.7499540281670946,0.7446700549476943,"[[2277  103  199]
 [ 353 1934  293]
 [ 305  682 1592]]"
2,DynamicANNWrapper0,0.7712500289083304,0.7827079664086942,0.7710851988972844,0.7670226576568967,"[[2258  124  197]
 [ 351 2147   81]
 [ 268  747 1564]]"
3,DynamicANNWrapper0,0.6721461454341474,0.7126034004326387,0.6729483954147468,0.622617136063563,"[[2282   52  246]
 [ 391  933 1256]
 [ 296  295 1988]]"
4,DynamicANNWrapper0,0.7598300620672281,0.775759060225522,0.7603378192152073,0.7531572526915001,"[[2315  111  153]
 [ 370 2081  128]
 [ 363  731 1485]]"
5,DynamicANNWrapper0,0.7525702317248377,0.7612906885998274,0.7528263532531705,0.7494579745964637,"[[2111  158  310]
 [ 288 2169  122]
 [ 199  837 1544]]"
6,DynamicANNWrapper0,0.756859183409832,0.7665334995049073,0.7568850997383775,0.7532153878053675,"[[2159  178  242]
 [ 279 2161  140]
 [ 238  804 1538]]"
