Unnamed: 0,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix,input_dim,layers,activations,dropout,lr,epochs,batch_size,criterion,optimizer
5,DynamicANNWrapper0,0.7979640626320793,0.8139530804887976,0.7980002243858199,0.7915447743810758,"[[2427   64   88]
 [ 261 2214  104]
 [ 232  812 1535]]",feature.shape[1],"128, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.793184855699126,0.8119806565980822,0.7931199702474152,0.7870756075609998,"[[2373   93  114]
 [ 243 2267   69]
 [ 188  892 1499]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.7602455043917136,0.7715105723518684,0.7601814423831821,0.7483180106127182,"[[2469   33   78]
 [ 266 1647  667]
 [ 278  533 1769]]",feature.shape[1],"8, 256, 128, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.8050173248082597,0.8172722399346586,0.805009481213047,0.7999377010483424,"[[2434   54   92]
 [ 258 2198  122]
 [ 203  778 1599]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.8048625430166801,0.8170865858889478,0.8048436100628493,0.7998688256014079,"[[2401   63  116]
 [ 247 2214  118]
 [ 201  764 1614]]",feature.shape[1],"512, 1024, 128, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.6720122744186623,0.7205018872555391,0.6726759855471255,0.6228575503995133,"[[2414   11  155]
 [ 279  891 1409]
 [ 346  338 1896]]",feature.shape[1],"8, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.7984805814944436,0.8056698957978817,0.7975393491524939,0.7922448027381328,"[[2460   42   77]
 [ 263 1999  317]
 [ 241  618 1721]]",feature.shape[1],"8, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.7958460372861229,0.8049743548023549,0.796029580632386,0.790922035560698,"[[2433   54   91]
 [ 259 2091  229]
 [ 210  735 1635]]",feature.shape[1],"128, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.788043391095153,0.7900111506315843,0.7873887927201834,0.7843988584782561,"[[2377   64  138]
 [ 252 1925  402]
 [ 182  600 1797]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.7596752936243725,0.7785222920988656,0.7596879124556095,0.7543336215443517,"[[2197  169  213]
 [ 304 2209   66]
 [ 234  871 1474]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.7496508557816878,0.7584585031613796,0.7499540281670946,0.7446700549476943,"[[2277  103  199]
 [ 353 1934  293]
 [ 305  682 1592]]",feature.shape[1],"512, 1024, 128, 3","relu, gelu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.7712500289083304,0.7827079664086942,0.7710851988972844,0.7670226576568967,"[[2258  124  197]
 [ 351 2147   81]
 [ 268  747 1564]]",feature.shape[1],"512, 1024, 128, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.6721461454341474,0.7126034004326387,0.6729483954147468,0.622617136063563,"[[2282   52  246]
 [ 391  933 1256]
 [ 296  295 1988]]",feature.shape[1],"256, 512, 1024, 3","relu, gelu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.7598300620672281,0.775759060225522,0.7603378192152073,0.7531572526915001,"[[2315  111  153]
 [ 370 2081  128]
 [ 363  731 1485]]",feature.shape[1],"1024, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.7525702317248377,0.7612906885998274,0.7528263532531705,0.7494579745964637,"[[2111  158  310]
 [ 288 2169  122]
 [ 199  837 1544]]",feature.shape[1],"128, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.756859183409832,0.7665334995049073,0.7568850997383775,0.7532153878053675,"[[2159  178  242]
 [ 279 2161  140]
 [ 238  804 1538]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.8005991207662728,0.825358672871635,0.8002190913346542,0.7929346066714273,"[[2395   73  112]
 [ 246 2321   12]
 [ 211  888 1480]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.7958973998387674,0.8025956384768289,0.7959536827433522,0.7915407712899396,"[[2378   60  140]
 [ 251 2153  175]
 [ 201  749 1629]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.7862598347140975,0.8051055250379108,0.786716854940091,0.7813836622967565,"[[2290   88  202]
 [ 232 2201  146]
 [ 179  807 1594]]",feature.shape[1],"512, 1024, 128, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.8001342814887472,0.8113702518419579,0.8000702375662403,0.794768777657369,"[[2405   70  105]
 [ 243 2182  154]
 [ 215  759 1605]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.8005733443802925,0.8270760377326927,0.8007101211873249,0.7921598895089212,"[[2459   64   57]
 [ 257 2293   29]
 [ 245  890 1444]]",feature.shape[1],"1024, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.8022013380694162,0.8138665081260477,0.8021930052211216,0.7977339054613091,"[[2384   73  123]
 [ 243 2205  131]
 [ 188  772 1620]]",feature.shape[1],"128, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.798894428646415,0.8147361953046403,0.7982213293017607,0.7927962013800107,"[[2404   61  115]
 [ 252 2202  125]
 [ 202  800 1577]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
7,DynamicANNWrapper0,0.8068000335453434,0.8154854846463611,0.8065506418149122,0.8021532945089559,"[[2438   53   88]
 [ 249 2136  194]
 [ 215  694 1671]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,300.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.3278302707077837,0.1092767569025945,0.3333333333333333,0.1645927275245601,"[[1020 1048  512]
 [1046 1007  526]
 [1029 1040  510]]",feature.shape[1],"8, 256, 128, 3","relu, relu, relu",0.2,0.0001,100.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.5011650732906684,0.4723058258473572,0.5013358312426119,0.4530532070567695,"[[1847  349  383]
 [1066  361 1152]
 [ 632  277 1670]]",feature.shape[1],"8, 256, 128, 3","relu, relu, relu",0.2,0.0001,100.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.6094916669088903,0.6105474000381009,0.6103986935663004,0.5758647249279203,"[[2380   81  118]
 [ 633  764 1181]
 [ 578  428 1573]]",feature.shape[1],"512, 256, 128, 3","relu, relu, relu",0.2,0.0001,100.0,100.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.7260893301279931,0.7243927437309124,0.7259318550755333,0.7205349703630445,"[[2370   53  156]
 [ 267 1617  696]
 [ 265  682 1633]]",feature.shape[1],"512, 256, 128, 3","relu, relu, relu",0.2,0.0001,100.0,100.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.3943822128787087,0.4149104396546246,0.3946787555465231,0.3053114022330986,"[[2297   66  216]
 [1993   94  492]
 [1835   83  661]]",feature.shape[1],"8, 256, 128, 3","relu, relu, relu",0.2,0.0001,100.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.6911071835457221,0.6864217888788,0.6912344196036957,0.6803442078772525,"[[2419   62   98]
 [ 267 1659  652]
 [ 285 1023 1271]]",feature.shape[1],"8, 256, 128, 3","relu, relu, relu",0.2,0.0001,100.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.552214164524558,0.5101845289986335,0.5521104468035903,0.4926437818510269,"[[2296  161  122]
 [1189  295 1095]
 [ 599  297 1683]]",feature.shape[1],"8, 256, 128, 3","relu, relu, relu",0.2,0.0001,100.0,256.0,nn.CrossEntropyLoss(),Adam
