//df = prepro("data/base.csv",['가해운전자'])
,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix,Avg Early Stopping Epoch
0,DynamicANNWrapper0,0.9458225952582462,0.9489340597497119,0.945814754377427,0.9462070684282242,"[[2495   61   23]
 [ 230 2344    5]
 [  94    3 2482]]",
1,DynamicANNWrapper0,0.9496719634514607,0.9508976403203867,0.9496822162093139,0.9498779393683069,"[[2454  102   23]
 [ 182 2392    6]
 [  61   14 2504]]",
2,DynamicANNWrapper0,0.9583010024457866,0.9593131896562699,0.9583105370566394,0.9584396484536395,"[[2483   67   29]
 [ 166 2408    6]
 [  51    2 2526]]",
3,DynamicANNWrapper0,0.953056265438842,0.9536598560368811,0.9532424252195313,0.9530310041181169,"[[2421   89   69]
 [ 153 2418    7]
 [  38    4 2537]]",
