//df = prepro("data/base.csv",['월']), add "epochs": 5,10,15,
,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix,Avg Early Stopping Epoch
0,DynamicANNWrapper0,0.9518679119735752,0.9534032197001012,0.95183488438943,0.9520924664859116,"[[2474   76   30]
 [ 185 2388    6]
 [  70    3 2505]]",
1,DynamicANNWrapper0,0.9439878164861479,0.9464807279819653,0.944018351926505,0.9444267774511488,"[[2457   89   32]
 [ 176 2398    6]
 [ 124    4 2451]]",
2,DynamicANNWrapper0,0.9542963085004909,0.9559343571464554,0.954598874455726,0.9543615025756218,"[[2432  120   28]
 [ 152 2422    6]
 [  41    5 2533]]",
3,DynamicANNWrapper0,0.9590761027772988,0.9596260527775418,0.9589879042017294,0.959103168981341,"[[2448  101   30]
 [ 135 2437    7]
 [  39    3 2538]]",
4,DynamicANNWrapper0,0.9865654003544286,0.9867411480261044,0.9865624600351934,0.9865360964798029,"[[2495   60   24]
 [   0 2576    4]
 [  10    4 2565]]",
5,DynamicANNWrapper0,0.9853510836210457,0.9855609094911678,0.9853171305567814,0.9853357252718205,"[[2497   60   22]
 [   3 2574    3]
 [  18    6 2556]]",
6,DynamicANNWrapper0,0.9867462288436493,0.9869083505494862,0.9867361124349223,0.9867172332808083,"[[2497   58   25]
 [   1 2574    4]
 [  10    2 2567]]",
