,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix
0,DynamicANNWrapper0,0.36785002548438267,0.3946577678997526,0.36788813983517216,0.2531508636204506,"[[2429    4  146]
 [2302    7  271]
 [2163    5  411]]"
1,DynamicANNWrapper0,0.6083286459845321,0.6134588309254843,0.6079504566995995,0.5717090937501134,"[[2119  125  335]
 [ 588  667 1324]
 [ 328  329 1922]]"
2,DynamicANNWrapper0,0.5911472063573564,0.6156506989386442,0.590855339376431,0.5530288138284014,"[[2302   82  195]
 [ 837 1003  739]
 [ 778  531 1270]]"
3,DynamicANNWrapper0,0.6782147356497129,0.6742331659027945,0.6786943872023883,0.6668606520379252,"[[2237   78  264]
 [ 406 1381  792]
 [ 312  636 1631]]"
4,DynamicANNWrapper0,0.3670749451759564,0.40405014579325166,0.36707430504683225,0.25196789549890686,"[[2433    8  138]
 [2310   11  258]
 [2176    7  397]]"
5,DynamicANNWrapper0,0.3651889073038244,0.34960440019194894,0.36522006159321124,0.2455493856854165,"[[2459    5  115]
 [2355    4  220]
 [2213    4  362]]"
6,DynamicANNWrapper0,0.617373174023877,0.6200716368613214,0.6169613089988546,0.6008243222160573,"[[2137  145  297]
 [ 452  978 1150]
 [ 414  502 1663]]"
