Fold,Accuracy,Precision,Recall,F1,Confusion_Matrix,Epochs_to_Early_Stop
1,0.7379825115203857,0.7904963493347168,0.7939902544021606,0.7913769483566284,"[[12223   264   214]
 [ 1126  8472  3103]
 [  510  2962  9229]]",169.0
2,0.732004702091217,0.7793259620666504,0.7841490507125854,0.7802587747573853,"[[12223   264   214]
 [ 1126  8472  3103]
 [  510  2962  9229]]",146.0
3,0.7350784540176392,0.7843495011329651,0.7890040874481201,0.7856845259666443,"[[12223   264   214]
 [ 1126  8472  3103]
 [  510  2962  9229]]",179.0
4,0.7324939966201782,0.7814844846725464,0.7860446572303772,0.782952070236206,"[[12223   264   214]
 [ 1126  8472  3103]
 [  510  2962  9229]]",148.0
5,0.732862651348114,0.7805978059768677,0.7853449583053589,0.7819859981536865,"[[12223   264   214]
 [ 1126  8472  3103]
 [  510  2962  9229]]",159.0
Average,0.7340844631195068,0.7832508206367492,0.7877066016197205,0.7844516634941101,,160.2

hidden 256 drop 0.2 relu 0.0001 200
