,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1
0,DynamicANNWrapper0,0.9861003274742336,0.9863408679381191,0.9860790782637359,0.9860731181105482 "layers": [128, 64, 128, 3]
1,DynamicANNWrapper0,0.98620368330673,0.986384411151829,0.9861896933830065,0.9861698134683156 "layers": [128, 64, 256, 3],
2,DynamicANNWrapper0,0.9863587153868838,0.986558772572673,0.9863406570738246,0.9863309591797972 "layers": [128, 64, 512, 3], #pick
3,DynamicANNWrapper0,0.9843694918784862,0.9845255505207773,0.9843520548665147,0.984326279268716 [128, 64, 1024, 3]
