,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1
0,DynamicANNWrapper0,0.9813723062233318,0.9821382070061901,0.9813193507757599,0.9813988686580825 "epochs": 10,
1,DynamicANNWrapper0,0.9843434485180262,0.9845647871495189,0.9842890727055604,0.9843329684603989 "epochs": 50,
2,DynamicANNWrapper0,0.9852993940246642,0.9855068286994255,0.9852942296169201,0.9852544050662964 "epochs": 100,
3,DynamicANNWrapper0,0.9846018798140296,0.9847920875349198,0.9846301238453581,0.9845785903113023 "epochs": 25,
