,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix,Avg Early Stopping Epoch
0,DynamicANNWrapper0,0.9821731896151867,0.9828368198178247,0.9820649126374619,0.982189233457359,"[[2483   57   39]
 [   0 2548   31]
 [   7    1 2571]]",    lr : 0.00001  epochs : 100
1,DynamicANNWrapper0,0.3389395459985515,0.1794310873369219,0.33432291666666664,0.17046180290773955,"[[1568 1012    0]
 [1524 1055    0]
 [1559 1021    0]]",    lr : 0.00001    epochs : 200
2,DynamicANNWrapper0,0.9866428997086008,0.9868175757554092,0.986634779068418,0.9866111921651,"[[2495   59   25]
 [   0 2575    4]
 [  10    3 2566]]",    lr : 0.00001    epochs : 300
3,DynamicANNWrapper0,0.5194075529282746,0.41859647021179763,0.517372980720961,0.3960633776169917,"[[2005  534   40]
 [1564 1007    8]
 [1556   16 1008]]",    lr : 0.00001    epochs : 400
