,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix,Avg Early Stopping Epoch
0,DynamicANNWrapper0,0.9858677993770885,0.9860850442549118,0.985850660407652,0.9858361878455234,"[[2492   61   26]
 [   0 2576    3]
 [  11    6 2562]]",    lr : 0.001  epochs : 100
1,DynamicANNWrapper0,0.4538604993604126,0.376733527201372,0.4536708683230808,0.3207594131089777,"[[2049   17  513]
 [1567  485  527]
 [1600    1  978]]",    lr : 0.01  epochs : 100
2,DynamicANNWrapper0,0.3355036645417611,0.11183455484725373,0.3333333333333333,0.1674679132287326,"[[ 512 1553  515]
 [ 526 1553  501]
 [ 510 1538  532]]",    lr : 0.1  epochs : 100
3,DynamicANNWrapper0,0.9849635401296515,0.9851078489510254,0.9849016930819176,0.9849237896398094,"[[2502   55   22]
 [  15 2561    4]
 [  14    4 2561]]",    lr : 0.0001  epochs : 100
4,DynamicANNWrapper0,0.9821731896151867,0.9828368198178247,0.9820649126374619,0.982189233457359,"[[2483   57   39]
 [   0 2548   31]
 [   7    1 2571]]",    lr : 0.00001  epochs : 100
