,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1
0,DynamicANNWrapper0,0.9856353480351062,0.9857641452031423,0.9856292941887805,0.9856100615042056 #relu
1,DynamicANNWrapper0,0.9864878809771707,0.9866808129630844,0.9864784074903584,0.9864502283406132 #sigmoid 
2,DynamicANNWrapper0,0.9611455587911009,0.9683207234124465,0.9610138207177311,0.9601569433451187 #tanh
3,DynamicANNWrapper0,0.9861003541716815,0.9862458565938406,0.9861120041233334,0.9860760768881531 #softmax
4,DynamicANNWrapper0,0.9862295230991492,0.9863715762224171,0.9862287364257842,0.9862018212771193 #leaky_relu
5,DynamicANNWrapper0,0.9820960473393807,0.9823140725795856,0.9821255731444773,0.9821024010842443 #elu
6,DynamicANNWrapper0,0.9849119239512518,0.9850498158350014,0.9848887626646683,0.984872482735503 #selu
7,DynamicANNWrapper0,0.9812950271231055,0.9817506418089949,0.9813194332322321,0.981251390698713 #gelu
8,DynamicANNWrapper0,0.9851443786304148,0.9853008054799692,0.9851228028081437,0.9851186679845538 #prelu
9,DynamicANNWrapper0,0.9869012609238033,0.9870632284723222,0.9869100698149825,0.9868741623562389 #softplus #pick
10,DynamicANNWrapper0,0.9846018097332287,0.9847148535541141,0.9845863914427421,0.9845739571826011 #softsign
11,DynamicANNWrapper0,0.9845760433587912,0.984740166047812,0.9845235236924731,0.984551396266783 #softmin
