,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix
0,DynamicANNWrapper0,0.7414633124838501,0.751008151192919,0.742339025615278,0.7308853121859409,"[[2398   30  151]
 [ 255 1893  432]
 [ 264  867 1448]]"
1,DynamicANNWrapper0,0.32922536587267237,0.3026567585340426,0.3344659751463391,0.16830612524897803,"[[1530 1047    2]
 [1567 1004    8]
 [1530 1035   13]]"
2,DynamicANNWrapper0,0.7760297097209847,0.7891346603151234,0.7759097005993467,0.7691036753616178,"[[2351   81  147]
 [ 237 2184  159]
 [ 212  896 1472]]"
3,DynamicANNWrapper0,0.7547665807086712,0.7594060937306801,0.753637408308774,0.7467998207221392,"[[2409   51  120]
 [ 249 1832  498]
 [ 226  753 1600]]"
4,DynamicANNWrapper0,0.707201933589364,0.7263288941636137,0.7063458525043707,0.6806331016787969,"[[2425   14  140]
 [ 238 1232 1110]
 [ 366  397 1816]]"
5,DynamicANNWrapper0,0.5609435225166777,0.6187196650812423,0.5604528589973731,0.4947954756925161,"[[2490   27   62]
 [1130 1216  233]
 [1079  865  636]]"
6,DynamicANNWrapper0,0.7570658683773768,0.757913094924695,0.7561778340087628,0.7503786522845024,"[[2433   43  103]
 [ 277 1799  504]
 [ 265  686 1628]]"
