,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix
0,DynamicANNWrapper0,0.7602455043917136,0.7715105723518684,0.7601814423831821,0.7483180106127182,"[[2469   33   78]
 [ 266 1647  667]
 [ 278  533 1769]]"
1,DynamicANNWrapper0,0.8050173248082597,0.8172722399346586,0.805009481213047,0.7999377010483424,"[[2434   54   92]
 [ 258 2198  122]
 [ 203  778 1599]]"
2,DynamicANNWrapper0,0.8048625430166801,0.8170865858889478,0.8048436100628493,0.7998688256014079,"[[2401   63  116]
 [ 247 2214  118]
 [ 201  764 1614]]"
3,DynamicANNWrapper0,0.6720122744186623,0.7205018872555391,0.6726759855471255,0.6228575503995133,"[[2414   11  155]
 [ 279  891 1409]
 [ 346  338 1896]]"
4,DynamicANNWrapper0,0.7984805814944436,0.8056698957978817,0.7975393491524939,0.7922448027381328,"[[2460   42   77]
 [ 263 1999  317]
 [ 241  618 1721]]"
5,DynamicANNWrapper0,0.7958460372861229,0.8049743548023549,0.796029580632386,0.790922035560698,"[[2433   54   91]
 [ 259 2091  229]
 [ 210  735 1635]]"
6,DynamicANNWrapper0,0.788043391095153,0.7900111506315843,0.7873887927201834,0.7843988584782561,"[[2377   64  138]
 [ 252 1925  402]
 [ 182  600 1797]]"
